Threshold,EV,Hours,Significance
1,1873,10,10
2,2111,10,10
3,2367,10,10
4,2064,10,10
5,1976,10,10
6,1683,10,10
7,1776,10,10
8,1750,10,10
9,2262,10,10
10,2026,10,10
11,1708,10,10
12,1754,10,10
13,2446,10,10
14,1954,10,10
15,1604,10,10
16,2138,10,10
17,1865,10,10
18,1831,10,10
19,1975,10,10
20,2097,10,10
21,2040,10,10
22,1651,10,10
23,1966,10,10
24,1867,10,10
25,1934,10,10
26,1815,10,10
27,1985,10,10
28,1720,10,10
29,1532,10,10
30,1827,10,10
31,2051,10,10
32,1877,10,10
33,1463,10,10
34,1702,10,10
35,1964,10,10
36,2041,10,10
37,1618,10,10
38,1707,10,10
39,2094,10,10
40,1699,10,10
41,1548,10,10
42,1879,10,10
43,1848,10,10
44,1622,10,10
45,1997,10,10
46,1899,10,10
47,2233,10,10
48,2051,10,10
49,1578,10,10
50,1459,10,10
51,2088,10,10
52,1931,10,10
53,2053,10,10
54,1594,10,10
55,2191,10,10
56,2110,10,10
57,1972,10,10
58,1796,10,10
59,1993,10,10
60,2055,10,10
61,1781,10,10
62,1735,10,10
63,1862,10,10
64,2199,10,10
65,1545,10,10
66,2368,10,10
67,1809,10,10
68,1944,10,10
69,1664,10,10
70,1817,10,10
71,1645,10,10
72,1941,10,10
73,1989,10,10
74,1885,10,10
75,1985,10,10
76,1495,10,10
77,1882,10,10
78,1969,10,10
79,1900,10,10
80,2323,10,10
81,1951,10,10
82,1445,10,10
83,1843,10,10
84,2042,10,10
85,1852,10,10
86,2071,10,10
87,2099,10,10
88,2067,10,10
89,1805,10,10
90,1903,10,10
91,2027,10,10
92,2039,10,10
93,2132,10,10
94,2094,10,10
95,1910,10,10
96,1921,10,10
97,2345,10,10
98,2091,10,10
99,2085,10,10
100,2056,10,10
101,1745,10,10
102,2026,10,10
103,1914,10,10
104,1852,10,10
105,1906,10,10
106,1991,10,10
107,1823,10,10
108,1740,10,10
109,1793,10,10
110,1788,10,10
111,1723,10,10
112,1961,10,10
113,1801,10,10
114,2566,10,10
115,1874,10,10
116,1836,10,10
117,1759,10,10
118,1648,10,10
119,1981,10,10
120,1979,10,10
121,1850,10,10
122,2147,10,10
123,1651,10,10
124,1862,10,10
125,2199,10,10
126,1930,10,10
127,1865,10,10
128,2075,10,10
129,1827,10,10
130,2039,10,10
131,2251,10,10
132,2017,10,10
133,1921,10,10
134,1765,10,10
135,2150,10,10
136,1749,10,10
137,1962,10,10
138,2061,10,10
139,1676,10,10
140,1918,10,10
141,2105,10,10
142,1741,10,10
143,1682,10,10
