Threshold,EV,Hours,Significance
1,1081,4,10000
2,1072,4,10000
3,1080,4,10000
4,1076,4,10000
5,1085,4,10000
6,1091,4,10000
7,1080,4,10000
8,1083,4,10000
9,1084,4,10000
10,1084,4,10000
11,1083,4,10000
12,1082,4,10000
13,1082,4,10000
14,1088,4,10000
15,1080,4,10000
16,1079,4,10000
17,1086,4,10000
18,1088,4,10000
19,1080,4,10000
20,1080,4,10000
21,1086,4,10000
22,1084,4,10000
23,1076,4,10000
24,1082,4,10000
25,1088,4,10000
26,1074,4,10000
27,1078,4,10000
28,1085,4,10000
29,1073,4,10000
30,1083,4,10000
31,1084,4,10000
32,1086,4,10000
33,1079,4,10000
34,1087,4,10000
35,1084,4,10000
36,1080,4,10000
37,1084,4,10000
38,1077,4,10000
39,1082,4,10000
40,1078,4,10000
41,1075,4,10000
42,1084,4,10000
43,1086,4,10000
44,1082,4,10000
45,1092,4,10000
46,1084,4,10000
47,1084,4,10000
48,1078,4,10000
49,1084,4,10000
50,1086,4,10000
51,1082,4,10000
52,1079,4,10000
53,1087,4,10000
54,1089,4,10000
55,1080,4,10000
56,1077,4,10000
57,1078,4,10000
58,1084,4,10000
59,1086,4,10000
60,1089,4,10000
61,1080,4,10000
62,1092,4,10000
63,1085,4,10000
64,1081,4,10000
65,1081,4,10000
66,1082,4,10000
67,1088,4,10000
68,1091,4,10000
69,1082,4,10000
70,1075,4,10000
71,1080,4,10000
72,1090,4,10000
73,1091,4,10000
74,1084,4,10000
75,1083,4,10000
76,1085,4,10000
77,1088,4,10000
78,1082,4,10000
79,1081,4,10000
80,1086,4,10000
81,1078,4,10000
82,1079,4,10000
83,1077,4,10000
84,1084,4,10000
85,1085,4,10000
86,1091,4,10000
87,1088,4,10000
88,1089,4,10000
89,1090,4,10000
90,1084,4,10000
91,1089,4,10000
92,1089,4,10000
93,1090,4,10000
94,1085,4,10000
95,1090,4,10000
96,1080,4,10000
97,1085,4,10000
98,1086,4,10000
99,1090,4,10000
100,1087,4,10000
101,1081,4,10000
102,1086,4,10000
103,1088,4,10000
104,1082,4,10000
105,1081,4,10000
106,1090,4,10000
107,1084,4,10000
108,1083,4,10000
109,1089,4,10000
110,1096,4,10000
