Threshold,EV,Hours,Significance
1,1077,4,1000
2,1070,4,1000
3,1104,4,1000
4,1088,4,1000
5,1067,4,1000
6,1072,4,1000
7,1088,4,1000
8,1089,4,1000
9,1067,4,1000
10,1065,4,1000
11,1109,4,1000
12,1080,4,1000
13,1086,4,1000
14,1061,4,1000
15,1070,4,1000
16,1081,4,1000
17,1098,4,1000
18,1089,4,1000
19,1099,4,1000
20,1074,4,1000
21,1108,4,1000
22,1088,4,1000
23,1094,4,1000
24,1086,4,1000
25,1083,4,1000
26,1082,4,1000
27,1092,4,1000
28,1083,4,1000
29,1068,4,1000
30,1071,4,1000
31,1079,4,1000
32,1118,4,1000
33,1094,4,1000
34,1079,4,1000
35,1101,4,1000
36,1083,4,1000
37,1064,4,1000
38,1089,4,1000
39,1098,4,1000
40,1088,4,1000
41,1066,4,1000
42,1074,4,1000
43,1087,4,1000
44,1104,4,1000
45,1085,4,1000
46,1078,4,1000
47,1067,4,1000
48,1075,4,1000
49,1100,4,1000
50,1078,4,1000
51,1088,4,1000
52,1082,4,1000
53,1061,4,1000
54,1075,4,1000
55,1090,4,1000
56,1076,4,1000
57,1084,4,1000
58,1092,4,1000
59,1079,4,1000
60,1070,4,1000
61,1092,4,1000
62,1069,4,1000
63,1077,4,1000
64,1066,4,1000
65,1092,4,1000
66,1060,4,1000
67,1112,4,1000
68,1081,4,1000
69,1066,4,1000
70,1095,4,1000
71,1068,4,1000
72,1078,4,1000
73,1093,4,1000
74,1085,4,1000
75,1099,4,1000
76,1089,4,1000
77,1084,4,1000
78,1081,4,1000
79,1102,4,1000
80,1093,4,1000
81,1111,4,1000
82,1075,4,1000
83,1081,4,1000
84,1079,4,1000
85,1082,4,1000
86,1076,4,1000
87,1087,4,1000
88,1075,4,1000
89,1097,4,1000
90,1089,4,1000
91,1074,4,1000
92,1095,4,1000
93,1096,4,1000
94,1066,4,1000
95,1058,4,1000
96,1057,4,1000
97,1105,4,1000
98,1077,4,1000
99,1092,4,1000
100,1105,4,1000
101,1081,4,1000
102,1069,4,1000
103,1074,4,1000
104,1098,4,1000
105,1112,4,1000
106,1081,4,1000
107,1081,4,1000
108,1089,4,1000
109,1074,4,1000
110,1104,4,1000
111,1090,4,1000
112,1094,4,1000
113,1091,4,1000
114,1081,4,1000
115,1104,4,1000
116,1089,4,1000
117,1073,4,1000
118,1096,4,1000
119,1086,4,1000
120,1088,4,1000
121,1093,4,1000
122,1065,4,1000
123,1082,4,1000
124,1109,4,1000
125,1105,4,1000
126,1111,4,1000
127,1126,4,1000
128,1085,4,1000
129,1091,4,1000
130,1083,4,1000
131,1095,4,1000
132,1108,4,1000
133,1113,4,1000
134,1061,4,1000
135,1092,4,1000
136,1076,4,1000
137,1088,4,1000
138,1095,4,1000
139,1082,4,1000
140,1080,4,1000
141,1071,4,1000
142,1083,4,1000
143,1128,4,1000
144,1098,4,1000
145,1095,4,1000
146,1086,4,1000
147,1106,4,1000
148,1089,4,1000
149,1104,4,1000
150,1091,4,1000
151,1103,4,1000
152,1112,4,1000
153,1087,4,1000
154,1095,4,1000
155,1096,4,1000
156,1081,4,1000
157,1097,4,1000
158,1108,4,1000
159,1106,4,1000
160,1112,4,1000
161,1094,4,1000
162,1086,4,1000
163,1063,4,1000
164,1103,4,1000
165,1105,4,1000
166,1078,4,1000
167,1097,4,1000
168,1104,4,1000
169,1060,4,1000
170,1105,4,1000
171,1101,4,1000
172,1071,4,1000
173,1084,4,1000
174,1116,4,1000
175,1101,4,1000
176,1088,4,1000
177,1094,4,1000
178,1084,4,1000
179,1101,4,1000
180,1103,4,1000
181,1106,4,1000
182,1079,4,1000
183,1103,4,1000
184,1114,4,1000
185,1104,4,1000
186,1092,4,1000
187,1099,4,1000
188,1110,4,1000
189,1114,4,1000
190,1104,4,1000
191,1096,4,1000
192,1091,4,1000
193,1092,4,1000
194,1103,4,1000
195,1086,4,1000
196,1112,4,1000
197,1085,4,1000
198,1100,4,1000
199,1111,4,1000
200,1096,4,1000
201,1075,4,1000
202,1104,4,1000
203,1103,4,1000
204,1107,4,1000
205,1120,4,1000
206,1100,4,1000
207,1102,4,1000
208,1096,4,1000
209,1107,4,1000
210,1098,4,1000
211,1098,4,1000
212,1091,4,1000
213,1122,4,1000
214,1096,4,1000
215,1085,4,1000
216,1096,4,1000
217,1097,4,1000
218,1109,4,1000
219,1104,4,1000
220,1083,4,1000
221,1112,4,1000
222,1097,4,1000
223,1117,4,1000
224,1097,4,1000
225,1099,4,1000
226,1119,4,1000
227,1094,4,1000
228,1104,4,1000
229,1118,4,1000
230,1095,4,1000
231,1091,4,1000
232,1112,4,1000
233,1116,4,1000
234,1109,4,1000
235,1104,4,1000
236,1116,4,1000
237,1077,4,1000
238,1127,4,1000
239,1107,4,1000
240,1121,4,1000
241,1112,4,1000
242,1110,4,1000
243,1121,4,1000
244,1115,4,1000
245,1110,4,1000
246,1126,4,1000
247,1105,4,1000
248,1134,4,1000
249,1120,4,1000
250,1085,4,1000
251,1117,4,1000
252,1124,4,1000
253,1105,4,1000
254,1134,4,1000
255,1091,4,1000
256,1112,4,1000
257,1080,4,1000
258,1119,4,1000
259,1116,4,1000
260,1095,4,1000
261,1113,4,1000
262,1102,4,1000
263,1117,4,1000
264,1093,4,1000
265,1120,4,1000
266,1092,4,1000
267,1119,4,1000
268,1125,4,1000
269,1102,4,1000
270,1119,4,1000
271,1131,4,1000
272,1113,4,1000
273,1113,4,1000
274,1132,4,1000
275,1126,4,1000
276,1139,4,1000
277,1126,4,1000
278,1118,4,1000
279,1127,4,1000
280,1130,4,1000
281,1144,4,1000
282,1094,4,1000
283,1117,4,1000
284,1116,4,1000
285,1099,4,1000
286,1120,4,1000
287,1108,4,1000
288,1111,4,1000
289,1101,4,1000
290,1131,4,1000
291,1128,4,1000
292,1130,4,1000
293,1097,4,1000
294,1109,4,1000
295,1112,4,1000
296,1138,4,1000
297,1112,4,1000
298,1109,4,1000
299,1118,4,1000
300,1108,4,1000
301,1142,4,1000
302,1121,4,1000
303,1108,4,1000
304,1102,4,1000
305,1114,4,1000
306,1147,4,1000
