Threshold,EV,Hours,Significance
1,831,3,10000
2,837,3,10000
3,834,3,10000
4,839,3,10000
5,828,3,10000
6,835,3,10000
7,837,3,10000
8,829,3,10000
9,828,3,10000
10,839,3,10000
11,828,3,10000
12,835,3,10000
13,830,3,10000
14,832,3,10000
15,832,3,10000
16,829,3,10000
17,835,3,10000
18,832,3,10000
19,833,3,10000
20,833,3,10000
21,834,3,10000
22,834,3,10000
23,832,3,10000
24,831,3,10000
25,828,3,10000
26,830,3,10000
27,835,3,10000
28,830,3,10000
29,830,3,10000
30,827,3,10000
31,832,3,10000
32,831,3,10000
33,840,3,10000
34,835,3,10000
35,833,3,10000
36,832,3,10000
37,830,3,10000
38,832,3,10000
39,837,3,10000
40,833,3,10000
41,836,3,10000
42,832,3,10000
43,834,3,10000
44,831,3,10000
45,826,3,10000
46,832,3,10000
47,831,3,10000
48,827,3,10000
49,840,3,10000
50,832,3,10000
51,831,3,10000
52,835,3,10000
53,832,3,10000
54,838,3,10000
55,835,3,10000
56,836,3,10000
57,832,3,10000
58,831,3,10000
59,831,3,10000
60,840,3,10000
61,828,3,10000
62,833,3,10000
63,832,3,10000
64,836,3,10000
65,832,3,10000
66,829,3,10000
67,837,3,10000
68,842,3,10000
69,828,3,10000
70,830,3,10000
71,825,3,10000
72,834,3,10000
73,827,3,10000
74,836,3,10000
75,831,3,10000
76,832,3,10000
77,837,3,10000
78,839,3,10000
79,831,3,10000
80,835,3,10000
81,834,3,10000
82,828,3,10000
83,840,3,10000
84,835,3,10000
85,835,3,10000
86,841,3,10000
87,835,3,10000
88,840,3,10000
89,835,3,10000
90,840,3,10000
91,825,3,10000
92,835,3,10000
93,832,3,10000
94,833,3,10000
95,836,3,10000
96,835,3,10000
97,839,3,10000
98,835,3,10000
99,834,3,10000
100,841,3,10000
101,838,3,10000
102,837,3,10000
103,835,3,10000
104,836,3,10000
105,835,3,10000
106,836,3,10000
107,837,3,10000
108,840,3,10000
109,837,3,10000
110,841,3,10000
111,847,3,10000
112,842,3,10000
113,837,3,10000
114,838,3,10000
115,846,3,10000
116,831,3,10000
117,841,3,10000
118,839,3,10000
119,842,3,10000
120,839,3,10000
121,831,3,10000
122,836,3,10000
123,837,3,10000
124,834,3,10000
125,842,3,10000
126,838,3,10000
127,836,3,10000
128,834,3,10000
129,833,3,10000
130,841,3,10000
131,841,3,10000
132,836,3,10000
133,835,3,10000
134,838,3,10000
135,840,3,10000
136,840,3,10000
137,843,3,10000
138,843,3,10000
139,846,3,10000
140,837,3,10000
141,840,3,10000
142,832,3,10000
143,841,3,10000
144,834,3,10000
145,841,3,10000
146,845,3,10000
147,843,3,10000
148,840,3,10000
149,848,3,10000
150,839,3,10000
151,843,3,10000
152,840,3,10000
153,844,3,10000
154,842,3,10000
155,848,3,10000
156,844,3,10000
157,841,3,10000
158,843,3,10000
159,842,3,10000
160,846,3,10000
161,847,3,10000
162,843,3,10000
163,849,3,10000
164,844,3,10000
165,842,3,10000
166,847,3,10000
167,841,3,10000
168,844,3,10000
169,842,3,10000
170,850,3,10000
171,847,3,10000
172,851,3,10000
173,840,3,10000
174,849,3,10000
175,845,3,10000
176,845,3,10000
177,851,3,10000
178,853,3,10000
179,843,3,10000
180,847,3,10000
181,846,3,10000
182,845,3,10000
183,846,3,10000
184,843,3,10000
185,853,3,10000
186,854,3,10000
187,847,3,10000
