People,Floors,EV
1,1,1
1,2,1
1,3,1
1,4,1
1,5,1
1,6,1
1,7,1
1,8,1
1,9,1
1,10,1
1,11,1
1,12,1
1,13,1
1,14,1
1,15,1
1,16,1
1,17,1
1,18,1
1,19,1
1,20,1
2,1,1
2,2,1
2,3,1
2,4,1
2,5,1
2,6,1
2,7,1
2,8,1
2,9,1
2,10,1
2,11,1
2,12,1
2,13,1
2,14,1
2,15,1
2,16,1
2,17,1
2,18,1
2,19,1
2,20,1
3,1,1
3,2,1
3,3,2
3,4,2
3,5,2
3,6,2
3,7,2
3,8,2
3,9,2
3,10,2
3,11,2
3,12,2
3,13,2
3,14,2
3,15,2
3,16,2
3,17,2
3,18,2
3,19,2
3,20,2
4,1,1
4,2,1
4,3,2
4,4,2
4,5,2
4,6,3
4,7,3
4,8,3
4,9,3
4,10,3
4,11,3
4,12,3
4,13,3
4,14,3
4,15,3
4,16,3
4,17,3
4,18,3
4,19,3
4,20,3
5,1,1
5,2,1
5,3,2
5,4,3
5,5,3
5,6,3
5,7,3
5,8,3
5,9,4
5,10,4
5,11,4
5,12,4
5,13,4
5,14,4
5,15,4
5,16,4
5,17,4
5,18,4
5,19,4
5,20,4
6,1,1
6,2,1
6,3,2
6,4,3
6,5,3
6,6,3
6,7,4
6,8,4
6,9,4
6,10,4
6,11,4
6,12,4
6,13,4
6,14,5
6,15,5
6,16,5
6,17,5
6,18,5
6,19,5
6,20,5
7,1,1
7,2,1
7,3,2
7,4,3
7,5,3
7,6,4
7,7,4
7,8,4
7,9,5
7,10,5
7,11,5
7,12,5
7,13,5
7,14,5
7,15,5
7,16,5
7,17,5
7,18,5
7,19,6
7,20,6
8,1,1
8,2,1
8,3,2
8,4,3
8,5,4
8,6,4
8,7,4
8,8,5
8,9,5
8,10,5
8,11,5
8,12,6
8,13,6
8,14,6
8,15,6
8,16,6
8,17,6
8,18,6
8,19,6
8,20,6
9,1,1
9,2,1
9,3,2
9,4,3
9,5,4
9,6,4
9,7,5
9,8,5
9,9,5
9,10,6
9,11,6
9,12,6
9,13,6
9,14,6
9,15,6
9,16,7
9,17,7
9,18,7
9,19,7
9,20,7
10,1,1
10,2,1
10,3,2
10,4,3
10,5,4
10,6,5
10,7,5
10,8,5
10,9,6
10,10,6
10,11,6
10,12,6
10,13,7
10,14,7
10,15,7
10,16,7
10,17,7
10,18,7
10,19,7
10,20,8
11,1,1
11,2,1
11,3,2
11,4,3
11,5,4
11,6,5
11,7,5
11,8,6
11,9,6
11,10,6
11,11,7
11,12,7
11,13,7
11,14,7
11,15,7
11,16,8
11,17,8
11,18,8
11,19,8
11,20,8
12,1,1
12,2,2
12,3,2
12,4,3
12,5,4
12,6,5
12,7,5
12,8,6
12,9,6
12,10,7
12,11,7
12,12,7
12,13,8
12,14,8
12,15,8
12,16,8
12,17,8
12,18,8
12,19,9
12,20,9
13,1,1
13,2,2
13,3,2
13,4,3
13,5,4
13,6,5
13,7,6
13,8,6
13,9,7
13,10,7
13,11,7
13,12,8
13,13,8
13,14,8
13,15,8
13,16,9
13,17,9
13,18,9
13,19,9
13,20,9
14,1,1
14,2,2
14,3,2
14,4,3
14,5,4
14,6,5
14,7,6
14,8,6
14,9,7
14,10,7
14,11,8
14,12,8
14,13,8
14,14,9
14,15,9
14,16,9
14,17,9
14,18,9
14,19,10
14,20,10
15,1,1
15,2,2
15,3,2
15,4,3
15,5,4
15,6,5
15,7,6
15,8,6
15,9,7
15,10,7
15,11,8
15,12,8
15,13,9
15,14,9
15,15,9
15,16,9
15,17,10
15,18,10
15,19,10
15,20,10
16,1,1
16,2,2
16,3,2
16,4,3
16,5,4
16,6,5
16,7,6
16,8,7
16,9,7
16,10,8
16,11,8
16,12,9
16,13,9
16,14,9
16,15,10
16,16,10
16,17,10
16,18,10
16,19,10
16,20,11
17,1,1
17,2,2
17,3,2
17,4,3
17,5,4
17,6,5
17,7,6
17,8,7
17,9,7
17,10,8
17,11,8
17,12,9
17,13,9
17,14,10
17,15,10
17,16,10
17,17,10
17,18,11
17,19,11
17,20,11
18,1,1
18,2,2
18,3,2
18,4,3
18,5,4
18,6,5
18,7,6
18,8,7
18,9,7
18,10,8
18,11,9
18,12,9
18,13,9
18,14,10
18,15,10
18,16,11
18,17,11
18,18,11
18,19,11
18,20,12
19,1,1
19,2,2
19,3,2
19,4,3
19,5,4
19,6,5
19,7,6
19,8,7
19,9,8
19,10,8
19,11,9
19,12,9
19,13,10
19,14,10
19,15,10
19,16,11
19,17,11
19,18,11
19,19,12
19,20,12
20,1,1
20,2,2
20,3,3
20,4,3
20,5,4
20,6,5
20,7,6
20,8,7
20,9,8
20,10,8
20,11,9
20,12,9
20,13,10
20,14,10
20,15,11
20,16,11
20,17,11
20,18,12
20,19,12
20,20,12
