People,Floors,EV
1,1,1
1,2,1
1,3,1
1,4,1
1,5,1
1,6,1
1,7,1
1,8,1
1,9,1
1,10,1
2,1,1
2,2,1
2,3,1
2,4,1
2,5,1
2,6,1
2,7,1
2,8,2
2,9,1
2,10,1
3,1,1
3,2,1
3,3,2
3,4,2
3,5,2
3,6,2
3,7,2
3,8,2
3,9,2
3,10,2
4,1,1
4,2,1
4,3,2
4,4,2
4,5,2
4,6,3
4,7,3
4,8,3
4,9,3
4,10,3
5,1,1
5,2,2
5,3,2
5,4,3
5,5,3
5,6,3
5,7,4
5,8,3
5,9,4
5,10,3
6,1,1
6,2,2
6,3,2
6,4,3
6,5,3
6,6,4
6,7,4
6,8,4
6,9,4
6,10,4
7,1,1
7,2,2
7,3,2
7,4,3
7,5,3
7,6,3
7,7,4
7,8,4
7,9,4
7,10,5
8,1,1
8,2,2
8,3,2
8,4,3
8,5,4
8,6,4
8,7,5
8,8,5
8,9,5
8,10,5
9,1,1
9,2,2
9,3,3
9,4,3
9,5,4
9,6,5
9,7,5
9,8,6
9,9,6
9,10,6
10,1,1
10,2,2
10,3,3
10,4,3
10,5,4
10,6,5
10,7,5
10,8,5
10,9,5
10,10,6
