Threshold,EV,Hours,Significance
1,486,2,200
2,497,2,200
3,529,2,200
4,497,2,200
5,475,2,200
6,539,2,200
7,523,2,200
8,485,2,200
9,453,2,200
10,490,2,200
11,518,2,200
12,497,2,200
13,510,2,200
14,524,2,200
15,481,2,200
16,491,2,200
17,511,2,200
18,495,2,200
19,519,2,200
20,488,2,200
21,490,2,200
22,503,2,200
23,483,2,200
24,496,2,200
25,521,2,200
26,502,2,200
27,491,2,200
28,495,2,200
29,533,2,200
30,493,2,200
31,502,2,200
32,508,2,200
33,489,2,200
34,511,2,200
35,498,2,200
36,504,2,200
37,459,2,200
38,498,2,200
39,524,2,200
40,489,2,200
41,519,2,200
42,525,2,200
43,508,2,200
44,506,2,200
45,479,2,200
46,476,2,200
47,517,2,200
48,521,2,200
49,519,2,200
50,485,2,200
51,488,2,200
52,522,2,200
53,507,2,200
54,473,2,200
55,520,2,200
56,483,2,200
57,519,2,200
58,498,2,200
59,516,2,200
60,492,2,200
61,501,2,200
62,532,2,200
63,514,2,200
64,518,2,200
65,510,2,200
66,475,2,200
67,535,2,200
68,484,2,200
69,477,2,200
70,507,2,200
71,505,2,200
72,516,2,200
73,478,2,200
74,509,2,200
75,521,2,200
76,484,2,200
77,527,2,200
78,490,2,200
79,510,2,200
80,514,2,200
81,516,2,200
82,510,2,200
83,485,2,200
84,510,2,200
85,516,2,200
86,499,2,200
87,498,2,200
88,489,2,200
89,533,2,200
90,495,2,200
91,482,2,200
92,510,2,200
93,520,2,200
94,503,2,200
95,491,2,200
96,459,2,200
97,507,2,200
98,508,2,200
99,516,2,200
100,479,2,200
101,511,2,200
102,493,2,200
103,524,2,200
104,480,2,200
105,489,2,200
106,486,2,200
107,492,2,200
108,540,2,200
109,519,2,200
110,512,2,200
111,498,2,200
112,519,2,200
113,480,2,200
114,484,2,200
115,511,2,200
116,498,2,200
117,511,2,200
118,513,2,200
119,512,2,200
120,474,2,200
121,503,2,200
122,530,2,200
123,517,2,200
124,515,2,200
