Threshold,EV,Hours,Significance
1,618,2,10
2,429,2,10
3,446,2,10
4,572,2,10
5,557,2,10
6,522,2,10
7,560,2,10
8,623,2,10
9,529,2,10
10,369,2,10
11,408,2,10
12,507,2,10
13,572,2,10
14,421,2,10
15,565,2,10
16,404,2,10
17,402,2,10
18,557,2,10
19,449,2,10
20,568,2,10
21,621,2,10
22,410,2,10
23,500,2,10
24,534,2,10
25,261,2,10
26,358,2,10
27,612,2,10
28,528,2,10
29,491,2,10
30,434,2,10
31,542,2,10
32,490,2,10
33,415,2,10
34,534,2,10
35,542,2,10
36,493,2,10
37,555,2,10
38,471,2,10
39,397,2,10
40,434,2,10
41,519,2,10
42,505,2,10
43,573,2,10
44,634,2,10
45,490,2,10
46,706,2,10
47,550,2,10
48,336,2,10
49,519,2,10
50,518,2,10
51,489,2,10
52,378,2,10
53,419,2,10
54,604,2,10
55,593,2,10
56,481,2,10
57,463,2,10
58,700,2,10
59,694,2,10
60,466,2,10
61,349,2,10
62,650,2,10
63,502,2,10
64,571,2,10
65,413,2,10
66,508,2,10
67,604,2,10
68,452,2,10
69,407,2,10
70,593,2,10
71,493,2,10
72,665,2,10
73,603,2,10
74,434,2,10
75,622,2,10
76,540,2,10
77,624,2,10
78,641,2,10
79,720,2,10
80,675,2,10
81,600,2,10
82,421,2,10
83,459,2,10
84,592,2,10
85,605,2,10
86,546,2,10
87,335,2,10
88,515,2,10
89,363,2,10
90,350,2,10
91,506,2,10
92,492,2,10
93,526,2,10
94,443,2,10
95,430,2,10
96,606,2,10
97,367,2,10
98,387,2,10
99,386,2,10
100,566,2,10
101,458,2,10
102,560,2,10
103,468,2,10
104,415,2,10
105,515,2,10
106,577,2,10
107,636,2,10
108,314,2,10
109,672,2,10
110,475,2,10
111,484,2,10
112,533,2,10
113,541,2,10
114,487,2,10
115,599,2,10
116,628,2,10
117,383,2,10
118,549,2,10
119,390,2,10
120,504,2,10
121,643,2,10
122,421,2,10
123,437,2,10
124,416,2,10
125,331,2,10
126,615,2,10
