Threshold,EV,Hours,Significance
1,806,2,200
2,827,2,200
3,856,2,200
4,833,2,200
5,827,2,200
6,819,2,200
7,788,2,200
8,863,2,200
9,830,2,200
10,864,2,200
11,780,2,200
12,777,2,200
13,832,2,200
14,849,2,200
15,867,2,200
16,835,2,200
17,850,2,200
18,828,2,200
19,850,2,200
20,823,2,200
21,834,2,200
22,916,2,200
23,848,2,200
24,879,2,200
25,855,2,200
26,809,2,200
27,787,2,200
28,822,2,200
29,772,2,200
30,852,2,200
31,809,2,200
32,790,2,200
33,855,2,200
34,868,2,200
35,802,2,200
36,863,2,200
37,801,2,200
38,856,2,200
39,795,2,200
40,773,2,200
41,823,2,200
42,837,2,200
43,826,2,200
44,836,2,200
45,844,2,200
46,844,2,200
47,810,2,200
48,825,2,200
49,787,2,200
50,869,2,200
51,805,2,200
52,835,2,200
53,847,2,200
54,828,2,200
55,823,2,200
56,787,2,200
57,839,2,200
58,821,2,200
59,834,2,200
60,835,2,200
61,883,2,200
62,856,2,200
63,833,2,200
64,826,2,200
65,824,2,200
66,850,2,200
67,790,2,200
68,796,2,200
69,805,2,200
70,812,2,200
71,840,2,200
72,807,2,200
73,804,2,200
74,816,2,200
75,806,2,200
76,847,2,200
77,812,2,200
78,820,2,200
79,827,2,200
80,835,2,200
81,873,2,200
82,842,2,200
83,812,2,200
84,865,2,200
85,827,2,200
86,827,2,200
87,847,2,200
88,807,2,200
89,848,2,200
90,846,2,200
91,835,2,200
92,794,2,200
93,827,2,200
94,841,2,200
95,846,2,200
96,870,2,200
97,786,2,200
98,772,2,200
99,871,2,200
100,821,2,200
101,853,2,200
102,833,2,200
103,834,2,200
104,816,2,200
105,827,2,200
106,848,2,200
107,823,2,200
108,868,2,200
109,817,2,200
110,878,2,200
111,833,2,200
112,811,2,200
113,748,2,200
114,869,2,200
115,798,2,200
116,845,2,200
117,808,2,200
118,857,2,200
119,790,2,200
120,838,2,200
121,807,2,200
122,833,2,200
123,812,2,200
124,815,2,200
125,831,2,200
126,817,2,200
127,799,2,200
128,824,2,200
129,809,2,200
130,849,2,200
131,822,2,200
132,827,2,200
133,795,2,200
134,783,2,200
135,799,2,200
136,834,2,200
137,842,2,200
138,857,2,200
139,777,2,200
140,799,2,200
141,829,2,200
142,873,2,200
143,821,2,200
144,838,2,200
145,824,2,200
146,826,2,200
147,837,2,200
148,877,2,200
149,818,2,200
150,816,2,200
151,839,2,200
152,786,2,200
153,794,2,200
154,811,2,200
155,785,2,200
156,791,2,200
157,825,2,200
158,862,2,200
159,869,2,200
160,775,2,200
161,812,2,200
162,765,2,200
163,783,2,200
164,844,2,200
165,777,2,200
166,779,2,200
167,826,2,200
168,790,2,200
169,812,2,200
170,819,2,200
171,834,2,200
172,846,2,200
173,775,2,200
174,849,2,200
175,790,2,200
176,897,2,200
177,808,2,200
178,813,2,200
179,816,2,200
180,797,2,200
181,855,2,200
182,823,2,200
183,810,2,200
184,829,2,200
185,793,2,200
186,869,2,200
187,804,2,200
188,829,2,200
189,818,2,200
190,819,2,200
191,802,2,200
192,805,2,200
193,815,2,200
194,810,2,200
195,802,2,200
196,799,2,200
197,851,2,200
198,810,2,200
199,783,2,200
200,814,2,200
201,834,2,200
202,833,2,200
203,817,2,200
204,810,2,200
205,869,2,200
206,789,2,200
207,835,2,200
208,827,2,200
209,803,2,200
210,825,2,200
211,817,2,200
212,802,2,200
213,786,2,200
214,822,2,200
215,808,2,200
216,797,2,200
217,783,2,200
218,828,2,200
219,840,2,200
220,795,2,200
221,779,2,200
222,800,2,200
223,818,2,200
224,830,2,200
225,769,2,200
226,766,2,200
227,800,2,200
228,824,2,200
229,802,2,200
230,812,2,200
231,840,2,200
232,803,2,200
233,775,2,200
234,768,2,200
235,805,2,200
236,814,2,200
237,817,2,200
238,814,2,200
239,842,2,200
240,834,2,200
241,752,2,200
242,823,2,200
243,831,2,200
244,808,2,200
245,852,2,200
246,784,2,200
247,798,2,200
248,788,2,200
249,789,2,200
250,810,2,200
251,844,2,200
252,787,2,200
253,792,2,200
254,794,2,200
255,785,2,200
256,739,2,200
257,718,2,200
258,761,2,200
259,811,2,200
260,766,2,200
261,809,2,200
262,752,2,200
263,776,2,200
264,843,2,200
265,783,2,200
266,845,2,200
267,790,2,200
268,771,2,200
269,807,2,200
270,803,2,200
271,790,2,200
272,811,2,200
273,762,2,200
274,742,2,200
275,833,2,200
276,779,2,200
277,789,2,200
278,816,2,200
279,810,2,200
280,810,2,200
281,773,2,200
282,764,2,200
283,766,2,200
284,791,2,200
285,777,2,200
286,757,2,200
287,745,2,200
288,720,2,200
289,838,2,200
290,796,2,200
291,808,2,200
292,769,2,200
293,805,2,200
294,805,2,200
295,769,2,200
296,763,2,200
297,784,2,200
298,765,2,200
299,799,2,200
300,781,2,200
301,801,2,200
302,725,2,200
303,779,2,200
304,791,2,200
305,741,2,200
306,807,2,200
307,808,2,200
308,757,2,200
309,742,2,200
310,778,2,200
311,772,2,200
312,817,2,200
313,788,2,200
314,742,2,200
315,786,2,200
316,753,2,200
317,825,2,200
318,745,2,200
319,844,2,200
320,804,2,200
321,748,2,200
322,743,2,200
323,838,2,200
324,836,2,200
325,791,2,200
326,741,2,200
327,738,2,200
328,788,2,200
329,839,2,200
330,790,2,200
331,787,2,200
332,763,2,200
333,769,2,200
334,760,2,200
335,779,2,200
336,830,2,200
337,833,2,200
338,792,2,200
339,755,2,200
340,810,2,200
341,770,2,200
342,750,2,200
343,776,2,200
344,787,2,200
345,763,2,200
346,728,2,200
347,742,2,200
348,834,2,200
349,770,2,200
350,816,2,200
351,781,2,200
352,778,2,200
353,770,2,200
354,747,2,200
355,797,2,200
356,786,2,200
357,769,2,200
358,778,2,200
359,756,2,200
360,771,2,200
361,727,2,200
362,823,2,200
363,739,2,200
364,763,2,200
365,815,2,200
366,778,2,200
367,746,2,200
368,767,2,200
369,751,2,200
370,796,2,200
371,775,2,200
372,797,2,200
373,807,2,200
374,773,2,200
375,776,2,200
376,787,2,200
377,735,2,200
378,777,2,200
379,783,2,200
380,762,2,200
381,751,2,200
382,768,2,200
383,775,2,200
384,764,2,200
385,743,2,200
386,737,2,200
387,737,2,200
388,787,2,200
389,731,2,200
390,810,2,200
391,741,2,200
392,736,2,200
393,790,2,200
394,780,2,200
395,762,2,200
396,766,2,200
397,741,2,200
398,734,2,200
399,755,2,200
400,733,2,200
401,775,2,200
402,746,2,200
403,730,2,200
404,749,2,200
405,814,2,200
406,745,2,200
407,727,2,200
408,725,2,200
409,801,2,200
410,711,2,200
411,787,2,200
412,760,2,200
413,735,2,200
414,721,2,200
415,759,2,200
416,762,2,200
417,772,2,200
418,766,2,200
419,729,2,200
420,726,2,200
421,758,2,200
422,814,2,200
423,782,2,200
424,756,2,200
425,753,2,200
426,742,2,200
427,813,2,200
428,814,2,200
429,766,2,200
430,763,2,200
431,721,2,200
432,753,2,200
433,711,2,200
434,746,2,200
435,766,2,200
436,744,2,200
437,806,2,200
438,776,2,200
439,724,2,200
440,698,2,200
441,724,2,200
442,805,2,200
443,725,2,200
444,797,2,200
445,779,2,200
446,748,2,200
447,756,2,200
448,765,2,200
449,790,2,200
450,744,2,200
451,735,2,200
452,746,2,200
453,797,2,200
454,732,2,200
455,729,2,200
456,684,2,200
457,760,2,200
458,789,2,200
459,809,2,200
460,759,2,200
461,759,2,200
462,747,2,200
463,703,2,200
464,709,2,200
465,758,2,200
466,746,2,200
467,774,2,200
468,725,2,200
469,730,2,200
470,726,2,200
471,746,2,200
472,745,2,200
473,726,2,200
474,764,2,200
475,763,2,200
476,774,2,200
477,722,2,200
478,769,2,200
479,713,2,200
480,782,2,200
481,743,2,200
482,748,2,200
483,747,2,200
484,756,2,200
485,737,2,200
486,743,2,200
487,750,2,200
488,793,2,200
489,690,2,200
490,691,2,200
491,721,2,200
492,698,2,200
493,716,2,200
494,707,2,200
495,745,2,200
496,731,2,200
497,770,2,200
498,709,2,200
499,696,2,200
500,752,2,200
501,726,2,200
502,790,2,200
503,703,2,200
504,783,2,200
505,725,2,200
506,779,2,200
507,680,2,200
508,751,2,200
509,726,2,200
510,678,2,200
511,723,2,200
512,719,2,200
513,662,2,200
514,708,2,200
515,717,2,200
516,724,2,200
517,711,2,200
518,772,2,200
519,692,2,200
520,719,2,200
521,713,2,200
522,737,2,200
523,717,2,200
524,745,2,200
525,717,2,200
526,792,2,200
527,718,2,200
528,727,2,200
529,677,2,200
530,675,2,200
531,696,2,200
532,687,2,200
533,730,2,200
534,673,2,200
535,707,2,200
536,694,2,200
537,716,2,200
538,696,2,200
539,694,2,200
540,706,2,200
541,690,2,200
542,729,2,200
543,672,2,200
544,692,2,200
545,705,2,200
546,721,2,200
547,663,2,200
548,711,2,200
549,662,2,200
550,779,2,200
551,688,2,200
552,673,2,200
553,673,2,200
554,701,2,200
555,707,2,200
556,689,2,200
557,690,2,200
558,744,2,200
559,693,2,200
560,709,2,200
561,721,2,200
562,731,2,200
563,688,2,200
564,652,2,200
565,694,2,200
566,710,2,200
567,666,2,200
568,695,2,200
569,682,2,200
570,718,2,200
571,738,2,200
572,673,2,200
573,703,2,200
574,693,2,200
575,697,2,200
576,708,2,200
577,672,2,200
578,665,2,200
579,728,2,200
580,724,2,200
581,724,2,200
582,694,2,200
583,666,2,200
584,644,2,200
585,660,2,200
586,667,2,200
587,693,2,200
588,676,2,200
589,668,2,200
590,650,2,200
591,641,2,200
592,678,2,200
593,662,2,200
594,729,2,200
595,684,2,200
596,672,2,200
597,677,2,200
598,685,2,200
599,690,2,200
600,667,2,200
601,709,2,200
602,676,2,200
603,705,2,200
604,676,2,200
605,702,2,200
606,712,2,200
607,679,2,200
608,686,2,200
609,701,2,200
610,648,2,200
611,650,2,200
612,670,2,200
613,695,2,200
614,678,2,200
615,688,2,200
616,728,2,200
617,680,2,200
618,704,2,200
619,691,2,200
620,620,2,200
621,746,2,200
622,701,2,200
623,711,2,200
624,668,2,200
625,718,2,200
626,712,2,200
627,729,2,200
628,626,2,200
629,716,2,200
630,722,2,200
631,734,2,200
632,725,2,200
633,696,2,200
634,664,2,200
635,706,2,200
636,631,2,200
637,697,2,200
638,667,2,200
639,671,2,200
640,631,2,200
641,673,2,200
642,639,2,200
643,679,2,200
644,667,2,200
645,672,2,200
646,692,2,200
647,691,2,200
648,675,2,200
649,624,2,200
650,648,2,200
651,656,2,200
652,659,2,200
653,658,2,200
654,685,2,200
655,698,2,200
656,665,2,200
657,678,2,200
658,678,2,200
659,687,2,200
660,694,2,200
661,682,2,200
662,610,2,200
663,643,2,200
664,657,2,200
665,636,2,200
666,727,2,200
667,668,2,200
668,677,2,200
669,643,2,200
670,691,2,200
671,675,2,200
672,659,2,200
673,626,2,200
674,625,2,200
675,642,2,200
676,679,2,200
677,628,2,200
678,681,2,200
679,605,2,200
680,670,2,200
681,639,2,200
682,666,2,200
683,673,2,200
684,670,2,200
685,655,2,200
686,666,2,200
687,671,2,200
688,645,2,200
689,609,2,200
690,658,2,200
691,598,2,200
692,663,2,200
693,670,2,200
694,684,2,200
695,683,2,200
696,705,2,200
697,636,2,200
698,628,2,200
699,686,2,200
700,685,2,200
701,664,2,200
702,665,2,200
703,635,2,200
704,655,2,200
705,589,2,200
706,650,2,200
707,630,2,200
708,653,2,200
709,637,2,200
710,661,2,200
711,668,2,200
712,654,2,200
713,609,2,200
714,609,2,200
715,663,2,200
716,636,2,200
717,634,2,200
718,683,2,200
719,665,2,200
720,641,2,200
721,637,2,200
722,640,2,200
723,646,2,200
724,631,2,200
725,670,2,200
726,578,2,200
727,672,2,200
728,600,2,200
729,692,2,200
730,603,2,200
731,583,2,200
732,657,2,200
733,636,2,200
734,610,2,200
735,626,2,200
736,608,2,200
737,654,2,200
738,620,2,200
739,630,2,200
740,583,2,200
741,603,2,200
742,627,2,200
743,616,2,200
744,616,2,200
745,625,2,200
746,615,2,200
747,579,2,200
748,660,2,200
749,597,2,200
750,678,2,200
751,622,2,200
752,606,2,200
753,591,2,200
754,639,2,200
755,609,2,200
756,625,2,200
757,566,2,200
758,623,2,200
759,617,2,200
760,595,2,200
761,598,2,200
762,645,2,200
763,606,2,200
764,616,2,200
765,675,2,200
766,615,2,200
767,624,2,200
768,625,2,200
769,582,2,200
770,611,2,200
771,623,2,200
772,626,2,200
773,597,2,200
774,607,2,200
775,605,2,200
776,595,2,200
777,566,2,200
778,588,2,200
779,631,2,200
780,613,2,200
781,615,2,200
782,628,2,200
783,601,2,200
784,626,2,200
785,646,2,200
786,603,2,200
787,602,2,200
788,618,2,200
789,595,2,200
790,594,2,200
791,634,2,200
792,594,2,200
793,592,2,200
794,616,2,200
795,624,2,200
796,625,2,200
797,583,2,200
798,583,2,200
799,608,2,200
800,627,2,200
801,568,2,200
802,637,2,200
803,606,2,200
804,612,2,200
805,603,2,200
806,609,2,200
807,600,2,200
808,596,2,200
809,588,2,200
810,580,2,200
811,617,2,200
812,612,2,200
813,574,2,200
814,596,2,200
815,587,2,200
816,566,2,200
817,564,2,200
818,611,2,200
819,576,2,200
820,608,2,200
821,587,2,200
822,586,2,200
823,547,2,200
824,553,2,200
825,599,2,200
826,581,2,200
827,538,2,200
828,617,2,200
829,562,2,200
830,583,2,200
831,561,2,200
832,608,2,200
833,553,2,200
834,615,2,200
835,568,2,200
836,593,2,200
837,571,2,200
838,590,2,200
839,626,2,200
840,550,2,200
841,595,2,200
842,585,2,200
843,569,2,200
844,580,2,200
845,583,2,200
846,572,2,200
847,582,2,200
848,578,2,200
849,545,2,200
850,595,2,200
851,578,2,200
852,588,2,200
853,528,2,200
854,610,2,200
855,555,2,200
856,581,2,200
857,554,2,200
858,526,2,200
859,562,2,200
860,578,2,200
861,568,2,200
862,609,2,200
863,601,2,200
864,551,2,200
865,540,2,200
866,558,2,200
867,579,2,200
868,560,2,200
869,580,2,200
870,599,2,200
871,601,2,200
872,532,2,200
873,526,2,200
874,526,2,200
875,569,2,200
876,523,2,200
877,596,2,200
878,607,2,200
879,583,2,200
880,565,2,200
881,566,2,200
882,552,2,200
883,562,2,200
884,555,2,200
885,516,2,200
886,533,2,200
887,529,2,200
888,542,2,200
889,546,2,200
890,527,2,200
891,586,2,200
892,552,2,200
893,574,2,200
894,510,2,200
895,546,2,200
896,572,2,200
897,580,2,200
898,542,2,200
899,541,2,200
900,536,2,200
901,560,2,200
902,552,2,200
903,523,2,200
904,560,2,200
905,584,2,200
906,571,2,200
907,549,2,200
908,556,2,200
909,572,2,200
910,529,2,200
911,549,2,200
912,531,2,200
913,565,2,200
914,497,2,200
915,532,2,200
916,515,2,200
917,522,2,200
918,555,2,200
919,547,2,200
920,561,2,200
921,561,2,200
922,537,2,200
923,542,2,200
924,537,2,200
925,532,2,200
926,521,2,200
927,518,2,200
928,536,2,200
929,486,2,200
930,539,2,200
931,517,2,200
932,540,2,200
933,535,2,200
934,539,2,200
935,514,2,200
936,519,2,200
937,514,2,200
938,546,2,200
939,528,2,200
940,517,2,200
941,517,2,200
942,533,2,200
943,506,2,200
944,509,2,200
945,519,2,200
946,514,2,200
947,561,2,200
948,527,2,200
949,528,2,200
950,518,2,200
951,535,2,200
952,529,2,200
953,524,2,200
954,550,2,200
955,488,2,200
956,551,2,200
957,529,2,200
958,509,2,200
959,514,2,200
960,495,2,200
961,509,2,200
962,506,2,200
963,513,2,200
964,502,2,200
965,480,2,200
966,503,2,200
967,512,2,200
968,488,2,200
969,504,2,200
970,511,2,200
971,525,2,200
972,463,2,200
973,515,2,200
974,540,2,200
975,511,2,200
976,521,2,200
977,500,2,200
978,519,2,200
979,496,2,200
980,510,2,200
981,501,2,200
982,477,2,200
983,520,2,200
984,478,2,200
985,509,2,200
986,510,2,200
987,492,2,200
988,508,2,200
989,525,2,200
990,489,2,200
991,532,2,200
992,503,2,200
993,463,2,200
994,509,2,200
995,515,2,200
996,507,2,200
997,474,2,200
998,504,2,200
999,515,2,200
1000,471,2,200
