Threshold,EV,Hours,Significance
1,831,2,100000
2,832,2,100000
3,833,2,100000
4,832,2,100000
5,831,2,100000
6,834,2,100000
7,833,2,100000
8,833,2,100000
9,831,2,100000
10,833,2,100000
11,832,2,100000
12,832,2,100000
13,832,2,100000
14,832,2,100000
15,834,2,100000
16,831,2,100000
17,831,2,100000
18,830,2,100000
19,831,2,100000
20,832,2,100000
21,829,2,100000
22,831,2,100000
23,830,2,100000
24,831,2,100000
25,830,2,100000
26,831,2,100000
27,830,2,100000
28,831,2,100000
29,831,2,100000
30,831,2,100000
31,829,2,100000
32,830,2,100000
33,831,2,100000
34,830,2,100000
35,831,2,100000
36,830,2,100000
37,831,2,100000
38,830,2,100000
39,834,2,100000
40,832,2,100000
41,831,2,100000
42,830,2,100000
43,829,2,100000
44,831,2,100000
45,833,2,100000
46,830,2,100000
47,831,2,100000
48,829,2,100000
49,829,2,100000
50,830,2,100000
51,829,2,100000
52,832,2,100000
53,831,2,100000
54,829,2,100000
55,831,2,100000
56,831,2,100000
57,832,2,100000
58,830,2,100000
59,831,2,100000
60,829,2,100000
61,830,2,100000
62,830,2,100000
63,829,2,100000
64,830,2,100000
65,830,2,100000
66,831,2,100000
67,829,2,100000
68,828,2,100000
69,829,2,100000
70,831,2,100000
71,831,2,100000
72,831,2,100000
73,831,2,100000
74,830,2,100000
75,831,2,100000
76,828,2,100000
77,830,2,100000
78,829,2,100000
79,829,2,100000
80,829,2,100000
81,828,2,100000
82,828,2,100000
83,828,2,100000
84,831,2,100000
85,829,2,100000
86,828,2,100000
87,828,2,100000
88,829,2,100000
89,828,2,100000
90,830,2,100000
91,828,2,100000
92,825,2,100000
93,826,2,100000
94,829,2,100000
95,827,2,100000
96,829,2,100000
97,828,2,100000
98,827,2,100000
99,829,2,100000
100,827,2,100000
101,827,2,100000
102,826,2,100000
103,827,2,100000
104,826,2,100000
105,828,2,100000
106,828,2,100000
107,827,2,100000
108,825,2,100000
109,827,2,100000
110,827,2,100000
