Threshold,EV,Hours,Significance
1,817,2,100
2,873,2,100
3,806,2,100
4,822,2,100
5,845,2,100
6,862,2,100
7,896,2,100
8,845,2,100
9,865,2,100
10,856,2,100
11,772,2,100
12,829,2,100
13,782,2,100
14,901,2,100
15,844,2,100
16,821,2,100
17,892,2,100
18,869,2,100
19,752,2,100
20,861,2,100
21,853,2,100
22,854,2,100
23,897,2,100
24,798,2,100
25,872,2,100
26,784,2,100
27,795,2,100
28,841,2,100
29,935,2,100
30,795,2,100
31,834,2,100
32,855,2,100
33,789,2,100
34,849,2,100
35,863,2,100
36,786,2,100
37,804,2,100
38,828,2,100
39,840,2,100
40,841,2,100
41,871,2,100
42,804,2,100
43,834,2,100
44,779,2,100
45,825,2,100
46,783,2,100
47,804,2,100
48,796,2,100
49,760,2,100
50,899,2,100
51,791,2,100
52,854,2,100
53,862,2,100
54,835,2,100
55,811,2,100
56,797,2,100
57,804,2,100
58,832,2,100
59,869,2,100
60,799,2,100
61,913,2,100
62,853,2,100
63,760,2,100
64,834,2,100
65,848,2,100
66,763,2,100
67,840,2,100
68,812,2,100
69,879,2,100
70,804,2,100
71,867,2,100
72,822,2,100
73,894,2,100
74,757,2,100
75,822,2,100
76,861,2,100
77,856,2,100
78,816,2,100
79,816,2,100
80,770,2,100
81,884,2,100
82,764,2,100
83,774,2,100
84,872,2,100
85,911,2,100
86,793,2,100
87,833,2,100
88,863,2,100
89,834,2,100
90,862,2,100
91,895,2,100
92,793,2,100
93,837,2,100
94,835,2,100
95,814,2,100
96,785,2,100
97,839,2,100
98,859,2,100
99,839,2,100
100,784,2,100
101,779,2,100
102,773,2,100
103,836,2,100
104,789,2,100
105,877,2,100
106,877,2,100
107,836,2,100
108,902,2,100
109,806,2,100
110,820,2,100
111,864,2,100
112,803,2,100
113,773,2,100
114,810,2,100
115,827,2,100
116,823,2,100
117,906,2,100
118,853,2,100
119,807,2,100
120,830,2,100
121,825,2,100
122,849,2,100
123,839,2,100
124,824,2,100
125,760,2,100
126,803,2,100
127,808,2,100
128,823,2,100
129,807,2,100
130,798,2,100
131,770,2,100
132,788,2,100
133,847,2,100
134,855,2,100
135,823,2,100
136,876,2,100
137,894,2,100
138,824,2,100
139,863,2,100
140,774,2,100
141,856,2,100
142,873,2,100
143,820,2,100
144,826,2,100
145,910,2,100
146,839,2,100
147,818,2,100
148,826,2,100
149,854,2,100
150,823,2,100
151,836,2,100
152,839,2,100
153,921,2,100
154,756,2,100
155,846,2,100
156,859,2,100
157,881,2,100
158,841,2,100
159,795,2,100
160,841,2,100
161,791,2,100
162,814,2,100
163,835,2,100
164,841,2,100
165,839,2,100
166,753,2,100
167,868,2,100
168,863,2,100
169,790,2,100
170,749,2,100
171,819,2,100
172,762,2,100
173,841,2,100
174,776,2,100
175,861,2,100
176,878,2,100
177,814,2,100
178,908,2,100
179,787,2,100
180,831,2,100
181,770,2,100
182,812,2,100
183,735,2,100
184,792,2,100
185,750,2,100
186,823,2,100
187,761,2,100
188,748,2,100
189,763,2,100
190,815,2,100
191,875,2,100
192,813,2,100
193,773,2,100
194,773,2,100
195,860,2,100
196,777,2,100
197,882,2,100
198,759,2,100
199,831,2,100
200,787,2,100
201,805,2,100
202,882,2,100
203,782,2,100
204,839,2,100
205,791,2,100
206,790,2,100
207,766,2,100
208,844,2,100
209,773,2,100
210,830,2,100
211,827,2,100
212,875,2,100
213,756,2,100
214,790,2,100
215,767,2,100
216,737,2,100
217,788,2,100
218,797,2,100
219,755,2,100
220,776,2,100
221,797,2,100
222,757,2,100
223,733,2,100
224,819,2,100
225,782,2,100
226,834,2,100
227,854,2,100
228,831,2,100
229,771,2,100
230,805,2,100
231,862,2,100
232,800,2,100
233,804,2,100
234,848,2,100
235,818,2,100
236,751,2,100
237,820,2,100
238,757,2,100
239,800,2,100
240,762,2,100
241,832,2,100
242,785,2,100
243,741,2,100
244,802,2,100
245,800,2,100
246,783,2,100
247,875,2,100
248,794,2,100
249,788,2,100
250,745,2,100
251,847,2,100
252,753,2,100
253,763,2,100
254,808,2,100
255,774,2,100
256,836,2,100
257,843,2,100
258,788,2,100
259,830,2,100
260,850,2,100
261,825,2,100
262,777,2,100
263,807,2,100
264,740,2,100
265,788,2,100
266,876,2,100
267,738,2,100
268,808,2,100
269,815,2,100
270,775,2,100
271,755,2,100
272,794,2,100
273,795,2,100
274,806,2,100
275,831,2,100
276,760,2,100
277,829,2,100
278,775,2,100
279,773,2,100
280,807,2,100
281,789,2,100
282,766,2,100
283,806,2,100
284,787,2,100
285,823,2,100
286,767,2,100
287,868,2,100
288,746,2,100
289,733,2,100
290,830,2,100
291,780,2,100
292,790,2,100
293,749,2,100
294,805,2,100
295,777,2,100
296,779,2,100
297,846,2,100
298,777,2,100
299,781,2,100
300,811,2,100
301,795,2,100
302,842,2,100
303,850,2,100
304,719,2,100
305,760,2,100
306,831,2,100
307,762,2,100
308,772,2,100
309,854,2,100
310,733,2,100
311,820,2,100
312,784,2,100
313,793,2,100
314,755,2,100
315,741,2,100
316,748,2,100
317,753,2,100
318,769,2,100
319,781,2,100
320,806,2,100
321,773,2,100
322,842,2,100
323,747,2,100
324,810,2,100
325,781,2,100
326,798,2,100
327,740,2,100
328,781,2,100
329,805,2,100
330,716,2,100
331,748,2,100
332,845,2,100
333,773,2,100
334,842,2,100
335,806,2,100
336,785,2,100
337,762,2,100
338,740,2,100
339,768,2,100
340,732,2,100
341,793,2,100
342,769,2,100
343,809,2,100
344,698,2,100
345,845,2,100
346,768,2,100
347,735,2,100
348,842,2,100
349,821,2,100
350,746,2,100
351,815,2,100
352,751,2,100
353,821,2,100
354,810,2,100
355,758,2,100
356,778,2,100
357,709,2,100
358,758,2,100
359,752,2,100
360,759,2,100
361,737,2,100
362,836,2,100
363,759,2,100
364,770,2,100
365,786,2,100
366,759,2,100
367,773,2,100
368,782,2,100
369,782,2,100
370,852,2,100
371,742,2,100
372,798,2,100
373,717,2,100
374,733,2,100
375,775,2,100
376,770,2,100
377,805,2,100
378,809,2,100
379,735,2,100
380,758,2,100
381,801,2,100
382,729,2,100
383,766,2,100
384,743,2,100
385,748,2,100
386,785,2,100
387,738,2,100
388,696,2,100
389,795,2,100
390,799,2,100
391,831,2,100
392,753,2,100
393,788,2,100
394,743,2,100
395,707,2,100
396,828,2,100
397,806,2,100
398,815,2,100
399,725,2,100
400,764,2,100
401,788,2,100
402,791,2,100
403,769,2,100
404,763,2,100
405,780,2,100
406,798,2,100
407,688,2,100
408,806,2,100
409,718,2,100
410,819,2,100
411,737,2,100
412,721,2,100
413,779,2,100
414,757,2,100
415,750,2,100
416,766,2,100
417,759,2,100
418,713,2,100
419,746,2,100
420,739,2,100
421,770,2,100
422,769,2,100
423,829,2,100
424,796,2,100
425,766,2,100
426,751,2,100
427,748,2,100
428,765,2,100
429,818,2,100
430,757,2,100
431,791,2,100
432,779,2,100
433,776,2,100
434,687,2,100
435,745,2,100
436,687,2,100
437,757,2,100
438,769,2,100
439,689,2,100
440,774,2,100
441,757,2,100
442,923,2,100
443,878,2,100
444,784,2,100
445,758,2,100
446,750,2,100
447,757,2,100
448,729,2,100
449,721,2,100
450,737,2,100
451,730,2,100
452,803,2,100
453,825,2,100
454,762,2,100
455,701,2,100
456,768,2,100
457,694,2,100
458,767,2,100
459,755,2,100
460,776,2,100
461,784,2,100
462,646,2,100
463,713,2,100
464,685,2,100
465,784,2,100
466,722,2,100
467,762,2,100
468,665,2,100
469,703,2,100
470,780,2,100
471,760,2,100
472,772,2,100
473,746,2,100
474,774,2,100
475,713,2,100
476,698,2,100
477,750,2,100
478,691,2,100
479,717,2,100
480,656,2,100
481,742,2,100
482,759,2,100
483,708,2,100
484,708,2,100
485,704,2,100
486,738,2,100
487,698,2,100
488,742,2,100
489,763,2,100
490,823,2,100
491,670,2,100
492,705,2,100
493,779,2,100
494,754,2,100
495,772,2,100
496,712,2,100
497,727,2,100
498,744,2,100
499,740,2,100
500,782,2,100
501,672,2,100
502,675,2,100
503,751,2,100
504,658,2,100
505,686,2,100
506,646,2,100
507,700,2,100
508,803,2,100
509,742,2,100
510,691,2,100
511,725,2,100
512,723,2,100
513,659,2,100
514,781,2,100
515,743,2,100
516,694,2,100
517,714,2,100
518,720,2,100
519,686,2,100
520,750,2,100
521,717,2,100
522,689,2,100
523,632,2,100
524,698,2,100
525,733,2,100
526,716,2,100
527,736,2,100
528,660,2,100
529,743,2,100
530,739,2,100
531,654,2,100
532,727,2,100
533,774,2,100
534,729,2,100
535,694,2,100
536,690,2,100
537,651,2,100
538,693,2,100
539,705,2,100
540,695,2,100
541,697,2,100
542,651,2,100
543,750,2,100
544,772,2,100
545,675,2,100
546,743,2,100
547,755,2,100
548,695,2,100
549,697,2,100
550,718,2,100
551,644,2,100
552,608,2,100
553,665,2,100
554,704,2,100
555,771,2,100
556,782,2,100
557,718,2,100
558,667,2,100
559,728,2,100
560,698,2,100
561,624,2,100
562,703,2,100
563,744,2,100
564,676,2,100
565,675,2,100
566,626,2,100
567,733,2,100
568,665,2,100
569,662,2,100
570,751,2,100
571,692,2,100
572,707,2,100
573,718,2,100
574,707,2,100
575,716,2,100
576,691,2,100
577,805,2,100
578,706,2,100
579,662,2,100
580,720,2,100
581,717,2,100
582,771,2,100
583,675,2,100
584,718,2,100
585,711,2,100
586,728,2,100
587,701,2,100
588,731,2,100
589,761,2,100
590,714,2,100
591,597,2,100
592,706,2,100
593,664,2,100
594,652,2,100
595,754,2,100
596,721,2,100
597,684,2,100
598,671,2,100
599,690,2,100
600,691,2,100
601,739,2,100
602,636,2,100
603,727,2,100
604,733,2,100
605,684,2,100
606,740,2,100
607,683,2,100
608,675,2,100
609,663,2,100
610,682,2,100
611,610,2,100
612,675,2,100
613,643,2,100
614,699,2,100
615,707,2,100
616,703,2,100
617,709,2,100
618,632,2,100
619,615,2,100
620,612,2,100
621,633,2,100
622,661,2,100
623,656,2,100
624,630,2,100
625,671,2,100
626,704,2,100
627,681,2,100
628,692,2,100
629,658,2,100
630,732,2,100
631,782,2,100
632,654,2,100
633,719,2,100
634,626,2,100
635,752,2,100
636,625,2,100
637,717,2,100
638,660,2,100
639,701,2,100
640,730,2,100
641,618,2,100
642,615,2,100
643,631,2,100
644,638,2,100
645,668,2,100
646,660,2,100
647,670,2,100
648,608,2,100
649,745,2,100
650,613,2,100
651,645,2,100
652,688,2,100
653,654,2,100
654,634,2,100
655,701,2,100
656,674,2,100
657,690,2,100
658,708,2,100
659,586,2,100
660,605,2,100
661,609,2,100
662,635,2,100
663,667,2,100
664,746,2,100
665,661,2,100
666,688,2,100
667,690,2,100
668,666,2,100
669,756,2,100
670,655,2,100
671,659,2,100
672,623,2,100
673,670,2,100
674,649,2,100
675,630,2,100
676,687,2,100
677,602,2,100
678,601,2,100
679,675,2,100
680,604,2,100
681,641,2,100
682,637,2,100
683,634,2,100
684,633,2,100
685,646,2,100
686,732,2,100
687,672,2,100
688,601,2,100
689,648,2,100
690,720,2,100
691,625,2,100
692,620,2,100
693,632,2,100
694,631,2,100
695,689,2,100
696,625,2,100
697,526,2,100
698,653,2,100
699,675,2,100
700,634,2,100
701,645,2,100
702,584,2,100
703,636,2,100
704,639,2,100
705,642,2,100
706,627,2,100
707,607,2,100
708,605,2,100
709,597,2,100
710,631,2,100
711,659,2,100
712,672,2,100
713,621,2,100
714,677,2,100
715,581,2,100
716,651,2,100
717,672,2,100
718,654,2,100
719,578,2,100
720,617,2,100
721,744,2,100
722,574,2,100
723,615,2,100
724,637,2,100
725,656,2,100
726,657,2,100
727,638,2,100
728,584,2,100
729,678,2,100
730,584,2,100
731,672,2,100
732,613,2,100
733,637,2,100
734,669,2,100
735,576,2,100
736,629,2,100
737,576,2,100
738,634,2,100
739,603,2,100
740,628,2,100
741,585,2,100
