Threshold,EV,Hours,Significance
1,490,2,1000
2,503,2,1000
3,506,2,1000
4,503,2,1000
5,503,2,1000
6,496,2,1000
7,499,2,1000
8,497,2,1000
9,501,2,1000
10,509,2,1000
11,502,2,1000
12,500,2,1000
13,516,2,1000
14,503,2,1000
15,501,2,1000
16,499,2,1000
17,500,2,1000
18,512,2,1000
19,507,2,1000
20,506,2,1000
21,512,2,1000
22,494,2,1000
23,498,2,1000
24,507,2,1000
25,506,2,1000
26,517,2,1000
27,511,2,1000
28,494,2,1000
29,498,2,1000
30,506,2,1000
31,494,2,1000
32,506,2,1000
33,495,2,1000
34,506,2,1000
35,504,2,1000
36,499,2,1000
37,498,2,1000
38,526,2,1000
39,496,2,1000
40,503,2,1000
41,505,2,1000
42,503,2,1000
43,504,2,1000
44,502,2,1000
45,521,2,1000
46,501,2,1000
47,499,2,1000
48,486,2,1000
49,506,2,1000
50,502,2,1000
51,503,2,1000
52,501,2,1000
53,498,2,1000
54,507,2,1000
55,480,2,1000
56,497,2,1000
57,515,2,1000
58,488,2,1000
59,488,2,1000
60,491,2,1000
61,496,2,1000
62,485,2,1000
63,481,2,1000
64,494,2,1000
65,502,2,1000
66,504,2,1000
67,510,2,1000
68,498,2,1000
69,508,2,1000
70,498,2,1000
71,510,2,1000
72,512,2,1000
73,510,2,1000
74,512,2,1000
75,494,2,1000
76,509,2,1000
77,499,2,1000
78,498,2,1000
79,503,2,1000
80,490,2,1000
81,496,2,1000
82,501,2,1000
83,488,2,1000
84,504,2,1000
85,503,2,1000
86,490,2,1000
87,516,2,1000
88,513,2,1000
89,508,2,1000
90,486,2,1000
91,508,2,1000
92,509,2,1000
93,487,2,1000
94,493,2,1000
95,516,2,1000
96,517,2,1000
97,504,2,1000
98,495,2,1000
99,499,2,1000
100,503,2,1000
101,498,2,1000
102,506,2,1000
103,513,2,1000
104,505,2,1000
105,504,2,1000
106,480,2,1000
107,515,2,1000
108,502,2,1000
109,508,2,1000
110,503,2,1000
111,495,2,1000
112,499,2,1000
