Threshold,EV,Hours,Significance
1,1279,5,1000
2,1256,5,1000
3,1259,5,1000
4,1308,5,1000
5,1271,5,1000
6,1277,5,1000
7,1266,5,1000
8,1292,5,1000
9,1296,5,1000
10,1307,5,1000
11,1258,5,1000
12,1264,5,1000
13,1289,5,1000
14,1290,5,1000
15,1273,5,1000
16,1297,5,1000
17,1280,5,1000
18,1275,5,1000
19,1252,5,1000
20,1275,5,1000
21,1301,5,1000
22,1273,5,1000
23,1292,5,1000
24,1274,5,1000
25,1255,5,1000
26,1260,5,1000
27,1304,5,1000
28,1315,5,1000
29,1299,5,1000
30,1280,5,1000
31,1313,5,1000
32,1276,5,1000
33,1286,5,1000
34,1269,5,1000
35,1288,5,1000
36,1290,5,1000
37,1285,5,1000
38,1255,5,1000
39,1281,5,1000
40,1302,5,1000
41,1279,5,1000
42,1273,5,1000
43,1303,5,1000
44,1276,5,1000
45,1266,5,1000
46,1266,5,1000
47,1281,5,1000
48,1283,5,1000
49,1292,5,1000
50,1279,5,1000
51,1299,5,1000
52,1283,5,1000
53,1273,5,1000
54,1292,5,1000
55,1298,5,1000
56,1295,5,1000
57,1293,5,1000
58,1270,5,1000
59,1285,5,1000
60,1312,5,1000
61,1269,5,1000
62,1314,5,1000
63,1296,5,1000
64,1287,5,1000
65,1270,5,1000
66,1287,5,1000
67,1276,5,1000
68,1278,5,1000
69,1271,5,1000
70,1258,5,1000
71,1269,5,1000
72,1289,5,1000
73,1274,5,1000
74,1276,5,1000
75,1295,5,1000
76,1273,5,1000
77,1291,5,1000
78,1289,5,1000
79,1286,5,1000
80,1311,5,1000
81,1277,5,1000
82,1277,5,1000
83,1270,5,1000
84,1276,5,1000
85,1310,5,1000
86,1270,5,1000
87,1341,5,1000
88,1257,5,1000
89,1286,5,1000
90,1282,5,1000
91,1270,5,1000
92,1281,5,1000
93,1282,5,1000
94,1271,5,1000
95,1290,5,1000
96,1299,5,1000
97,1277,5,1000
98,1283,5,1000
99,1286,5,1000
100,1321,5,1000
101,1308,5,1000
102,1278,5,1000
103,1299,5,1000
104,1310,5,1000
105,1313,5,1000
106,1319,5,1000
107,1300,5,1000
108,1276,5,1000
109,1253,5,1000
110,1276,5,1000
111,1284,5,1000
112,1312,5,1000
113,1299,5,1000
114,1275,5,1000
115,1265,5,1000
116,1336,5,1000
117,1274,5,1000
118,1297,5,1000
119,1284,5,1000
120,1273,5,1000
121,1297,5,1000
122,1291,5,1000
123,1276,5,1000
124,1313,5,1000
125,1294,5,1000
126,1297,5,1000
127,1276,5,1000
128,1306,5,1000
129,1305,5,1000
130,1295,5,1000
131,1276,5,1000
132,1287,5,1000
133,1299,5,1000
134,1281,5,1000
