Threshold,EV,Hours,Significance
1,1925,10,100
2,1788,10,100
3,1983,10,100
4,1786,10,100
5,1911,10,100
6,1894,10,100
7,1861,10,100
8,1985,10,100
9,1998,10,100
10,1876,10,100
11,1999,10,100
12,1948,10,100
13,1856,10,100
14,1856,10,100
15,1888,10,100
16,1800,10,100
17,1925,10,100
18,1950,10,100
19,1902,10,100
20,1819,10,100
21,1961,10,100
22,2011,10,100
23,1755,10,100
24,2033,10,100
25,1896,10,100
26,1832,10,100
27,1935,10,100
28,1850,10,100
29,1794,10,100
30,1874,10,100
31,1799,10,100
32,1870,10,100
33,1924,10,100
34,1991,10,100
35,1949,10,100
36,1911,10,100
37,2021,10,100
38,1889,10,100
39,1772,10,100
40,1891,10,100
41,1908,10,100
42,1977,10,100
43,1979,10,100
44,1928,10,100
45,2002,10,100
46,1868,10,100
47,1964,10,100
48,2017,10,100
49,1829,10,100
50,1902,10,100
51,1973,10,100
52,2050,10,100
53,1884,10,100
54,1915,10,100
55,1879,10,100
56,1940,10,100
57,1945,10,100
58,1972,10,100
59,1756,10,100
60,1904,10,100
61,2013,10,100
62,1979,10,100
63,1912,10,100
64,1804,10,100
65,1792,10,100
66,1959,10,100
67,1917,10,100
68,1800,10,100
69,1840,10,100
70,2059,10,100
71,1918,10,100
72,1979,10,100
73,1925,10,100
74,1886,10,100
75,1987,10,100
76,1951,10,100
77,1918,10,100
78,2046,10,100
79,1884,10,100
80,1850,10,100
81,1919,10,100
82,1972,10,100
83,2003,10,100
84,1864,10,100
85,1890,10,100
86,2012,10,100
87,1987,10,100
88,1977,10,100
89,2083,10,100
90,1912,10,100
91,1924,10,100
92,2111,10,100
93,1912,10,100
94,1839,10,100
95,1972,10,100
96,1885,10,100
97,1898,10,100
98,2083,10,100
99,1813,10,100
100,2057,10,100
101,1889,10,100
102,1833,10,100
103,1939,10,100
104,1774,10,100
105,1897,10,100
106,1852,10,100
107,1946,10,100
108,1957,10,100
109,1903,10,100
110,1877,10,100
111,1962,10,100
112,1988,10,100
113,1797,10,100
114,2024,10,100
115,1967,10,100
116,2015,10,100
117,1990,10,100
118,1884,10,100
119,1891,10,100
120,1872,10,100
121,1980,10,100
122,1851,10,100
123,1909,10,100
124,1934,10,100
125,1986,10,100
126,1992,10,100
127,1898,10,100
128,1885,10,100
129,2029,10,100
130,1822,10,100
131,2097,10,100
132,1921,10,100
133,1942,10,100
134,1778,10,100
135,1917,10,100
136,1895,10,100
137,1884,10,100
138,1991,10,100
139,2030,10,100
140,2008,10,100
141,2058,10,100
142,1907,10,100
143,1911,10,100
144,1954,10,100
145,1837,10,100
146,1963,10,100
147,2115,10,100
148,1886,10,100
149,2041,10,100
150,2030,10,100
151,1963,10,100
152,1929,10,100
153,1929,10,100
154,1957,10,100
155,2032,10,100
156,2019,10,100
157,2011,10,100
158,1922,10,100
159,1974,10,100
160,1982,10,100
161,1968,10,100
162,1897,10,100
163,1986,10,100
164,1990,10,100
165,2070,10,100
166,1962,10,100
167,1980,10,100
168,1958,10,100
169,1961,10,100
170,1944,10,100
171,2024,10,100
172,1953,10,100
173,1862,10,100
174,1984,10,100
175,1978,10,100
176,1905,10,100
177,1910,10,100
178,1939,10,100
179,1914,10,100
180,1922,10,100
181,1984,10,100
182,2090,10,100
183,2021,10,100
184,1928,10,100
185,1934,10,100
186,1857,10,100
187,1860,10,100
188,1927,10,100
189,1910,10,100
190,1921,10,100
191,1880,10,100
192,1873,10,100
193,2073,10,100
194,2028,10,100
195,2011,10,100
196,1999,10,100
197,2008,10,100
198,1938,10,100
199,1971,10,100
200,1964,10,100
201,2000,10,100
202,2043,10,100
203,1963,10,100
204,1992,10,100
205,1883,10,100
206,1806,10,100
207,1892,10,100
208,2007,10,100
209,1928,10,100
210,1903,10,100
211,2076,10,100
212,1883,10,100
213,1953,10,100
214,1904,10,100
215,2078,10,100
216,1953,10,100
217,1889,10,100
218,2005,10,100
219,2026,10,100
220,1952,10,100
221,1902,10,100
222,1932,10,100
223,2037,10,100
224,1964,10,100
225,1880,10,100
226,1894,10,100
227,1944,10,100
228,2000,10,100
229,1985,10,100
230,1820,10,100
231,1951,10,100
232,1928,10,100
233,1968,10,100
234,1997,10,100
235,2057,10,100
236,1929,10,100
237,1892,10,100
238,1908,10,100
239,1893,10,100
240,1992,10,100
241,2062,10,100
242,1887,10,100
243,1823,10,100
244,1932,10,100
245,2098,10,100
246,1926,10,100
247,2029,10,100
248,2119,10,100
249,1898,10,100
250,1878,10,100
251,1986,10,100
252,2040,10,100
253,1879,10,100
254,2061,10,100
255,1958,10,100
256,1898,10,100
257,1870,10,100
258,2075,10,100
259,1959,10,100
260,1945,10,100
261,1868,10,100
262,1938,10,100
263,1837,10,100
264,1952,10,100
265,1978,10,100
266,1950,10,100
267,2041,10,100
268,1968,10,100
269,1881,10,100
270,1947,10,100
271,1896,10,100
272,1980,10,100
273,1818,10,100
274,2062,10,100
275,2000,10,100
276,2053,10,100
277,2079,10,100
278,2034,10,100
279,2044,10,100
280,1870,10,100
281,2032,10,100
282,1898,10,100
283,1965,10,100
284,1953,10,100
285,1985,10,100
286,2093,10,100
287,2008,10,100
288,2016,10,100
289,1929,10,100
290,1989,10,100
291,2014,10,100
292,2177,10,100
293,1969,10,100
294,1985,10,100
295,2060,10,100
296,1985,10,100
297,1989,10,100
298,1982,10,100
299,1969,10,100
300,1899,10,100
301,1973,10,100
302,2153,10,100
303,1878,10,100
304,1836,10,100
305,2026,10,100
306,1917,10,100
307,2025,10,100
308,1893,10,100
309,1971,10,100
310,1900,10,100
311,1928,10,100
312,2048,10,100
313,1948,10,100
314,1967,10,100
315,1950,10,100
316,2088,10,100
317,1875,10,100
318,1982,10,100
319,1995,10,100
320,1820,10,100
321,2102,10,100
322,2047,10,100
323,2022,10,100
324,1959,10,100
325,2048,10,100
326,1933,10,100
327,1868,10,100
328,1976,10,100
329,1930,10,100
330,1970,10,100
331,1967,10,100
332,1812,10,100
333,1970,10,100
334,1908,10,100
335,2046,10,100
336,1953,10,100
337,2071,10,100
338,2008,10,100
339,2107,10,100
340,2052,10,100
341,1997,10,100
342,2039,10,100
343,1957,10,100
344,2079,10,100
345,1998,10,100
346,2054,10,100
347,1795,10,100
348,1934,10,100
349,1903,10,100
350,1894,10,100
351,1899,10,100
352,2026,10,100
353,1991,10,100
354,1982,10,100
355,1961,10,100
356,2010,10,100
357,1976,10,100
358,1943,10,100
359,1997,10,100
360,1981,10,100
361,1905,10,100
362,1962,10,100
363,1927,10,100
364,1907,10,100
365,1946,10,100
366,1938,10,100
367,1929,10,100
368,2096,10,100
369,2049,10,100
370,1975,10,100
371,1945,10,100
372,1908,10,100
373,1937,10,100
374,2058,10,100
375,1971,10,100
376,1952,10,100
377,1995,10,100
378,2001,10,100
379,2009,10,100
380,1921,10,100
381,2094,10,100
382,1991,10,100
383,2006,10,100
384,2078,10,100
385,1958,10,100
386,2096,10,100
387,2044,10,100
388,1992,10,100
389,1902,10,100
390,2048,10,100
391,1997,10,100
392,2042,10,100
393,2086,10,100
394,1981,10,100
395,1960,10,100
396,1985,10,100
397,2052,10,100
398,1988,10,100
399,2063,10,100
400,1875,10,100
401,2016,10,100
402,2051,10,100
403,1898,10,100
404,1999,10,100
405,2045,10,100
406,2056,10,100
407,1914,10,100
408,2078,10,100
409,1960,10,100
410,2067,10,100
411,1950,10,100
412,2003,10,100
413,2000,10,100
414,2008,10,100
415,1956,10,100
416,2112,10,100
417,2091,10,100
418,2052,10,100
419,2057,10,100
420,2195,10,100
421,2008,10,100
422,1978,10,100
423,1991,10,100
424,1939,10,100
425,2119,10,100
426,2145,10,100
427,2027,10,100
428,2078,10,100
429,1966,10,100
430,2037,10,100
431,1891,10,100
432,1941,10,100
433,2004,10,100
434,2005,10,100
435,2139,10,100
436,2031,10,100
437,1953,10,100
438,2034,10,100
439,2088,10,100
440,2043,10,100
441,2075,10,100
442,2079,10,100
443,2092,10,100
444,2063,10,100
445,2056,10,100
446,2045,10,100
447,2062,10,100
448,1829,10,100
449,1996,10,100
450,2068,10,100
451,1978,10,100
452,1998,10,100
453,2037,10,100
454,2012,10,100
455,1996,10,100
456,1991,10,100
457,2074,10,100
458,2034,10,100
459,1968,10,100
460,1977,10,100
461,2052,10,100
462,2008,10,100
463,1962,10,100
464,1943,10,100
465,1882,10,100
466,2053,10,100
467,2049,10,100
468,2033,10,100
469,1989,10,100
470,2093,10,100
471,2060,10,100
472,1929,10,100
473,2134,10,100
474,2062,10,100
475,2054,10,100
476,1906,10,100
477,1946,10,100
478,2000,10,100
479,1966,10,100
480,2021,10,100
481,1882,10,100
482,2004,10,100
483,1900,10,100
484,2013,10,100
485,2229,10,100
486,1962,10,100
487,2014,10,100
488,2120,10,100
489,2160,10,100
490,2043,10,100
491,1842,10,100
492,2034,10,100
493,1922,10,100
494,2146,10,100
495,1958,10,100
496,1978,10,100
497,2110,10,100
498,2134,10,100
499,2038,10,100
500,2047,10,100
